TV_Spend,Radio_Spend,Newspaper_Spend,Online_Spend,Sales
596.75,1347.13,356.31,1777.81,234.66
3328.99,1909.47,179.39,2726.02,457.29
2475.41,451.88,568.08,959.57,299.38
3931.73,1783.29,260.25,2807.52,481.42
4199.53,1065.34,338.98,946.13,323.24
963.82,1984.08,989.03,920.82,291.78
4270.3,1807.01,825.02,2919.28,541.5
585.06,114.48,,236.88,388.64448429596655
4162.75,671.38,384.78,2814.13,503.81
2664.7,1669.84,217.24,1378.28,322.58
2027.88,1796.07,467.72,1378.16,310.82
2978.42,1794.37,638.8,1248.9,401.57
4344.84,1328.35,984.71,946.98,422.37
4802.68,331.03,636.24,1316.29,419.78
,1769.58,978.49,1984.03,384.95
3690.57,1855.08,85.1,627.73,343.02
2518.56,959.86,250.76,819.95,235.3
4675.36,1022.93,826.26,1965.88,510.92
3842.57,1757.79,206.56,,409.14
2897.65,324.34,172.1,1516.76,295.93
3357.29,1080.95,792.61,1328.16,371.72
4138.41,1892.83,166.16,2810.54,521.47
2834.4,,87.06,664.98,236.44
3348.67,,434.31,2060.49,438.84
1922.5,838.07,131.29,1266.27,247.34
3533.95,775.09,111.23,1750.98,355.8
,940.87,785.86,230.61,329.26
4433.65,1364.83,758.4,2157.48,507.35
4528.3,1966.05,657.53,1724.49,513.91
,516.67,185.73,1337.37,187.99
3195.67,851.48,819.45,2862.45,471.0
757.88,1508.13,651.75,1626.12,287.76
1683.43,1443.97,595.71,2898.77,416.29
2308.58,1073.93,119.55,,299.08
3985.31,1204.61,951.73,2399.48,426.91
2946.51,893.63,930.06,597.87,262.27
3083.19,182.92,978.83,1094.18,302.35
2867.65,177.42,630.26,205.13,186.57
3114.16,346.98,,1406.87,324.81
2404.67,555.31,90.24,916.09,208.13
1992.08,1749.01,656.27,1185.71,320.05
2255.75,680.64,105.22,1651.22,337.62
3856.61,1918.72,263.42,1499.51,453.63
2527.92,1113.95,92.35,1608.85,334.58
2802.62,872.96,164.77,1986.26,378.92
4653.41,1086.01,606.63,1759.77,423.22
2638.48,492.73,477.95,1779.45,332.95
1236.75,1367.34,754.31,633.06,244.61
3380.28,1631.34,108.72,1345.2,366.03
2886.54,688.0,470.61,2985.63,427.6
883.82,229.96,330.49,1747.07,266.49
1128.63,1159.84,802.84,1510.56,232.59
4366.96,1232.69,876.03,1337.71,444.43
3639.63,1127.03,950.16,2859.74,483.43
4339.91,1364.81,269.09,1945.85,479.46
2460.78,740.91,900.96,270.51,981.6889849040109
1106.5,1770.19,129.81,1878.32,325.93
4497.58,1090.16,59.07,149.48,339.51
994.52,704.04,553.88,137.98,115.49
2310.95,784.85,563.39,2264.07,370.37
2949.57,1406.79,773.74,2882.96,490.78
1937.58,410.34,355.84,563.7,162.25
3825.79,1823.05,988.07,697.53,395.5
3061.66,1443.9,283.66,1824.39,345.91
4336.87,941.06,773.76,364.36,336.7
4468.86,1978.39,500.43,2600.95,543.68
2255.93,1404.33,235.86,1263.36,305.5
4183.32,1142.27,432.59,2887.91,446.32
2051.48,1441.79,,1897.15,386.04
3659.47,1727.46,106.83,469.07,365.06
3597.27,475.52,70.56,2099.87,419.46
4947.19,888.2,805.33,1159.59,444.92
3277.78,1249.98,871.9,1469.65,349.89
4657.9,227.4,211.83,2179.56,437.38
1467.39,1401.19,312.97,2251.21,315.33
3534.76,1431.95,880.24,1482.11,428.07
1307.13,1311.51,773.58,,222.31
4733.9,660.37,244.07,1903.12,465.2
2523.68,1354.63,,2695.22,415.16
1125.29,811.2,448.82,2130.12,313.77
3240.61,1084.03,643.22,1288.94,393.52
1988.31,1302.3,969.95,2476.68,426.06
3920.78,1486.42,569.77,2018.54,398.32
2494.23,1637.26,843.68,1415.32,395.63
901.22,889.28,603.1,2503.04,276.99
3431.6,203.48,520.22,1364.3,358.07
1611.05,793.74,657.25,745.26,259.95
1976.3,1456.51,812.74,719.3,318.58
912.7,438.8,428.73,645.04,178.07
